taxa,region,treename,incl,RL.cat
Erica_longipedunculata_var._longipedunculata,CAPE,CAPE&Erica_longipedunculata_var._longipedunculata,0,LC
Erica_longipedunculata_var._setifera,CAPE,CAPE&Erica_longipedunculata_var._setifera,0,LC
Erica_lucida_var._lucida,CAPE,CAPE&Erica_lucida_var._lucida,1,LC
Erica_lusitanica,ARB,ARB&Erica_lusitanica,1,LC
Erica_lutea,CAPE,CAPE&Erica_lutea,1,LC
Erica_lyallii,TEA,TEA&Erica_lyallii,0,NE
Erica_lycopodiastrum,CAPE,CAPE&Erica_lycopodiastrum,0,LC
Erica_macilenta,CAPE,CAPE&Erica_macilenta,0,NE
Erica_mackayana,EUR1,EUR1&Erica_mackayana,1,LC
Erica_macowanii_ssp._lanceolata,CAPE,CAPE&Erica_macowanii_ssp._lanceolata,0,LC
Erica_macowanii_ssp._macowanii,CAPE,CAPE&Erica_macowanii_ssp._macowanii,1,LC
Erica_macrocalyx,TEA,TEA&Erica_macrocalyx,0,NE
Erica_macroloma,CAPE,CAPE&Erica_macroloma,1,LC
Erica_macrophylla,CAPE,CAPE&Erica_macrophylla,0,LC
Erica_madagascariensis,TEA,TEA&Erica_madagascariensis,1,NE
Erica_maderensis,EUR4,EUR4&Erica_maderensis,1,CR
Erica_maderi,CAPE,CAPE&Erica_maderi,1,LC
Erica_madida,CAPE,CAPE&Erica_madida,1,LC
Erica_maesta_var._longistyla,TEA,TEA&Erica_maesta_var._longistyla,0,NE
Erica_mafiensis,TEA,TEA&Erica_mafiensis,0,VU
Erica_magistrati,CAPE,CAPE&Erica_magistrati,1,LC
Erica_magnisylvae,CAPE,CAPE&Erica_magnisylvae,1,VU
Erica_malmesburiensis,CAPE,CAPE&Erica_malmesburiensis,1,CR
Erica_mammosa,CAPE,CAPE&Erica_mammosa,1,LC
Erica_manipuliflora,EUR1,EUR1&Erica_manipuliflora,1,NE
Erica_mannii_ssp._mannii,TEA,TEA&Erica_mannii_ssp._mannii,0,NE
Erica_mannii_ssp._pallidiflora,TEA,TEA&Erica_mannii_ssp._pallidiflora,0,NE
Erica_mannii_ssp._usambarensis,TEA,TEA&Erica_mannii_ssp._usambarensis,1,NE
Erica_margaritacea,CAPE,CAPE&Erica_margaritacea,1,CR
Erica_marifolia,CAPE,CAPE&Erica_marifolia,1,VU
Erica_maritima,CAPE,CAPE&Erica_maritima,0,LC
Erica_marlothii,CAPE,CAPE&Erica_marlothii,0,LC
Erica_marojejyensis,TEA,TEA&Erica_marojejyensis,0,NE
Erica_massonii_var._massonii,CAPE,CAPE&Erica_massonii_var._massonii,1,LC
Erica_massonii_var._minor,CAPE,CAPE&Erica_massonii_var._minor,0,NE
Erica_mauritanica,CAPE,CAPE&Erica_mauritanica,0,LC
Erica_mauritiensis,TEA,TEA&Erica_mauritiensis,1,NE
Erica_maximiliani,CAPE,CAPE&Erica_maximiliani,1,LC
Erica_melanacme,CAPE,CAPE&Erica_melanacme,0,EN
Erica_melanomontana,CAPE,CAPE&Erica_melanomontana,0,LC
Erica_melanthera,CAPE,CAPE&Erica_melanthera,1,LC
Erica_melastoma_ssp._melastoma,CAPE,CAPE&Erica_melastoma_ssp._melastoma,1,LC
Erica_melastoma_ssp._minor,CAPE,CAPE&Erica_melastoma_ssp._minor,1,EN
Erica_micrandra,CAPE,CAPE&Erica_micrandra,0,NE
Erica_microdonta,TEA,TEA&Erica_microdonta,1,NE
Erica_milanjiana,TEA,TEA&Erica_milanjiana,0,NE
Erica_miniscula,CAPE,CAPE&Erica_miniscula,0,NE
Erica_minutifolia,TEA,TEA&Erica_minutifolia,0,NE
Erica_mira,CAPE,CAPE&Erica_mira,1,LC
Erica_mitchelliensis,CAPE,CAPE&Erica_mitchelliensis,0,LC
Erica_modesta,CAPE,CAPE&Erica_modesta,1,EN
Erica_mollis,CAPE,CAPE&Erica_mollis,1,LC
Erica_monadelphia,CAPE,CAPE&Erica_monadelphia,1,LC
Erica_monantha,CAPE,CAPE&Erica_monantha,0,NE
Erica_monsoniana_var._monsoniana,CAPE,CAPE&Erica_monsoniana_var._monsoniana,1,LC
Erica_montis_hominis,CAPE,CAPE&Erica_montis_hominis,1,VU
Erica_mucronata,CAPE,CAPE&Erica_mucronata,0,LC
Erica_multiflexuosa,CAPE,CAPE&Erica_multiflexuosa,1,VU
Erica_multiflora,EUR1,EUR1&Erica_multiflora,1,NE
Erica_multumbellifera,CAPE,CAPE&Erica_multumbellifera,1,LC
Erica_mundii,CAPE,CAPE&Erica_mundii,0,NE
Erica_muscosa,CAPE,CAPE&Erica_muscosa,1,LC
Erica_myriadenia,TEA,TEA&Erica_myriadenia,1,NE
Erica_myriocodon,CAPE,CAPE&Erica_myriocodon,0,LC
Erica_nabea,CAPE,CAPE&Erica_nabea,1,LC
Erica_nana,CAPE,CAPE&Erica_nana,1,VU
Erica_natalitia_var._natalitia,CAPE,CAPE&Erica_natalitia_var._natalitia,1,LC
Erica_navigatoris,CAPE,CAPE&Erica_navigatoris,0,VU
Erica_nematophylla,CAPE,CAPE&Erica_nematophylla,1,VU
Erica_nemorosa,CAPE,CAPE&Erica_nemorosa,1,LC
Erica_nervata,CAPE,CAPE&Erica_nervata,1,LC
Erica_nevillei,CAPE,CAPE&Erica_nevillei,1,LC
Erica_newdigatei,CAPE,CAPE&Erica_newdigatei,0,LC
Erica_nidularia,CAPE,CAPE&Erica_nidularia,0,NE
Erica_nigrimontana,CAPE,CAPE&Erica_nigrimontana,0,NE
Erica_nivea,CAPE,CAPE&Erica_nivea,0,NE
Erica_niveniana,CAPE,CAPE&Erica_niveniana,1,VU
Erica_notholeeana,CAPE,CAPE&Erica_notholeeana,0,LC
Erica_nubigena,CAPE,CAPE&Erica_nubigena,1,LC
Erica_nudiflora,CAPE,CAPE&Erica_nudiflora,1,LC
Erica_nutans,CAPE,CAPE&Erica_nutans,1,LC
Erica_nyassana,TEA,TEA&Erica_nyassana,0,EN
Erica_oakesiorum,CAPE,CAPE&Erica_oakesiorum,0,EN
Erica_oatesii_var._oatesii,TEA,TEA&Erica_oatesii_var._oatesii,1,LC
Erica_obconica,CAPE,CAPE&Erica_obconica,0,NE
Erica_obliqua,CAPE,CAPE&Erica_obliqua,1,LC
Erica_oblongiflora,CAPE,CAPE&Erica_oblongiflora,1,EN
Erica_obtusata,CAPE,CAPE&Erica_obtusata,1,LC
Erica_occulta,CAPE,CAPE&Erica_occulta,1,VU
Erica_ocellata,CAPE,CAPE&Erica_ocellata,1,LC
Erica_octonaria,CAPE,CAPE&Erica_octonaria,0,NE
Erica_odorata,CAPE,CAPE&Erica_odorata,1,LC
Erica_oligantha,CAPE,CAPE&Erica_oligantha,1,EN
Erica_oliveri,CAPE,CAPE&Erica_oliveri,1,LC
Erica_omninoglabra,CAPE,CAPE&Erica_omninoglabra,0,LC
Erica_onusta,CAPE,CAPE&Erica_onusta,0,CR
Erica_oophylla,CAPE,CAPE&Erica_oophylla,0,LC
Erica_opulenta,CAPE,CAPE&Erica_opulenta,1,LC
Erica_orculiflora,CAPE,CAPE&Erica_orculiflora,0,LC
Erica_oreophila,CAPE,CAPE&Erica_oreophila,0,LC
Erica_oreotragus,CAPE,CAPE&Erica_oreotragus,1,LC
Erica_oresigena,CAPE,CAPE&Erica_oresigena,1,LC
Erica_orientalis,CAPE,CAPE&Erica_orientalis,1,NE
Erica_orthiocola,CAPE,CAPE&Erica_orthiocola,0,EN
Erica_ostiaria,CAPE,CAPE&Erica_ostiaria,0,NE
Erica_outeniquae,CAPE,CAPE&Erica_outeniquae,0,VU
Erica_ovina_var._ovina,CAPE,CAPE&Erica_ovina_var._ovina,1,LC
Erica_oxyandra,CAPE,CAPE&Erica_oxyandra,0,NE
Erica_oxycoccifolia,CAPE,CAPE&Erica_oxycoccifolia,1,LC
Erica_oxysepala,CAPE,CAPE&Erica_oxysepala,1,VU
Erica_pageana,CAPE,CAPE&Erica_pageana,1,LC
Erica_palliiflora,CAPE,CAPE&Erica_palliiflora,1,LC
Erica_paludicola,CAPE,CAPE&Erica_paludicola,1,VU
Erica_paniculata,CAPE,CAPE&Erica_paniculata,1,LC
Erica_pannosa,CAPE,CAPE&Erica_pannosa,1,LC
Erica_papyracea,CAPE,CAPE&Erica_papyracea,0,LC
Erica_parilis_var._parilis,CAPE,CAPE&Erica_parilis_var._parilis,1,LC
Erica_parkeri,TEA,TEA&Erica_parkeri,1,NE
Erica_parviflora_var._exigua,CAPE,CAPE&Erica_parviflora_var._exigua,0,NE
Erica_parviflora_var._inermis,CAPE,CAPE&Erica_parviflora_var._inermis,0,LC
Erica_parviflora_var._parviflora,CAPE,CAPE&Erica_parviflora_var._parviflora,1,LC
Erica_parviflora_var._ternifolia,CAPE,CAPE&Erica_parviflora_var._ternifolia,0,LC
Erica_parviporandra,CAPE,CAPE&Erica_parviporandra,1,LC
Erica_passerina,CAPE,CAPE&Erica_passerina,1,LC
Erica_passerinoides,CAPE,CAPE&Erica_passerinoides,0,EN
Erica_patens,CAPE,CAPE&Erica_patens,1,EN
Erica_patersonia,CAPE,CAPE&Erica_patersonia,1,EN
Erica_paucifolia_ssp._ciliata,CAPE,CAPE&Erica_paucifolia_ssp._ciliata,1,EN
Erica_paucifolia_ssp._paucifolia,CAPE,CAPE&Erica_paucifolia_ssp._paucifolia,0,EN
Erica_paucifolia_ssp._squarrosa,CAPE,CAPE&Erica_paucifolia_ssp._squarrosa,0,EN
Erica_pauciovulata,CAPE,CAPE&Erica_pauciovulata,1,VU
Erica_pearsoniana,CAPE,CAPE&Erica_pearsoniana,0,NE
Erica_pectinifolia_var._pectinifolia,CAPE,CAPE&Erica_pectinifolia_var._pectinifolia,1,LC
Erica_pellucida,CAPE,CAPE&Erica_pellucida,0,LC
Erica_peltata,CAPE,CAPE&Erica_peltata,1,LC
Erica_penduliflora,CAPE,CAPE&Erica_penduliflora,1,EN
Erica_penicilliformis_var._penicilliformis,CAPE,CAPE&Erica_penicilliformis_var._penicilliformis,1,LC
Erica_perhispida,TEA,TEA&Erica_perhispida,0,NE
Erica_perlata,CAPE,CAPE&Erica_perlata,1,LC
Erica_permutata,CAPE,CAPE&Erica_permutata,0,LC
Erica_perplexa,CAPE,CAPE&Erica_perplexa,1,CR
Erica_perrieri,TEA,TEA&Erica_perrieri,1,NE
Erica_perspicua_ssp._latifolia,CAPE,CAPE&Erica_perspicua_ssp._latifolia,0,VU
Erica_perspicua_ssp._perspicua,CAPE,CAPE&Erica_perspicua_ssp._perspicua,1,LC
Erica_petiolaris,CAPE,CAPE&Erica_petiolaris,1,LC
Erica_petraea,CAPE,CAPE&Erica_petraea,0,LC
Erica_petricola,CAPE,CAPE&Erica_petricola,1,LC
Erica_petrophila,CAPE,CAPE&Erica_petrophila,1,LC
Erica_petrusiana,CAPE,CAPE&Erica_petrusiana,0,CR
Erica_peziza,CAPE,CAPE&Erica_peziza,1,LC
Erica_phacelanthera,CAPE,CAPE&Erica_phacelanthera,1,LC
Erica_phaeocarpa,CAPE,CAPE&Erica_phaeocarpa,1,LC
Erica_philippioides,CAPE,CAPE&Erica_philippioides,0,LC
Erica_phillipsii,CAPE,CAPE&Erica_phillipsii,1,LC
Erica_physantha,CAPE,CAPE&Erica_physantha,1,CR
Erica_physodes,CAPE,CAPE&Erica_physodes,1,LC
Erica_physophylla,CAPE,CAPE&Erica_physophylla,1,LC
Erica_pilaarkopensis,CAPE,CAPE&Erica_pilaarkopensis,0,LC
Erica_pillansii_ssp._fervida,CAPE,CAPE&Erica_pillansii_ssp._fervida,0,VU
Erica_pillansii_ssp._pillansii,CAPE,CAPE&Erica_pillansii_ssp._pillansii,1,EN
Erica_pilosiflora_ssp._pilosiflora,CAPE,CAPE&Erica_pilosiflora_ssp._pilosiflora,1,VU
Erica_pilosiflora_ssp._purpurea,CAPE,CAPE&Erica_pilosiflora_ssp._purpurea,0,VU
Erica_pilulifera,CAPE,CAPE&Erica_pilulifera,0,VU
Erica_pinea,CAPE,CAPE&Erica_pinea,1,LC
Erica_piquetbergensis,CAPE,CAPE&Erica_piquetbergensis,1,CR
Erica_placentiflora,CAPE,CAPE&Erica_placentiflora,1,LC
Erica_planifolia_var._planifolia,CAPE,CAPE&Erica_planifolia_var._planifolia,1,LC
Erica_platycalyx,CAPE,CAPE&Erica_platycalyx,1,EN
Erica_platycodon_ssp._maderincola,EUR1,EUR1&Erica_platycodon_ssp._maderincola,1,NE
Erica_platycodon_ssp._platycodon,EUR1,EUR1&Erica_platycodon_ssp._platycodon,1,NE
Erica_plena,CAPE,CAPE&Erica_plena,1,LC
Erica_plukenetii_ssp._bredensis,CAPE,CAPE&Erica_plukenetii_ssp._bredensis,0,LC
Erica_plukenetii_ssp._breviflora,CAPE,CAPE&Erica_plukenetii_ssp._breviflora,1,LC
Erica_plukenetii_ssp._lineata,CAPE,CAPE&Erica_plukenetii_ssp._lineata,1,NT
Erica_plukenetii_ssp._penicillata,CAPE,CAPE&Erica_plukenetii_ssp._penicillata,1,LC
Erica_plukenetii_ssp._plukenetii,CAPE,CAPE&Erica_plukenetii_ssp._plukenetii,1,LC
Erica_plumigera,CAPE,CAPE&Erica_plumigera,1,LC
Erica_plumosa,CAPE,CAPE&Erica_plumosa,1,LC
Erica_podophylla,CAPE,CAPE&Erica_podophylla,1,LC
Erica_pogonanthera,CAPE,CAPE&Erica_pogonanthera,1,NE
Erica_polifolia_var._angustata,CAPE,CAPE&Erica_polifolia_var._angustata,0,NE
Erica_polycoma,CAPE,CAPE&Erica_polycoma,1,LC
Erica_praecox,CAPE,CAPE&Erica_praecox,1,NE
Erica_praenitens,CAPE,CAPE&Erica_praenitens,0,LC
Erica_priori,CAPE,CAPE&Erica_priori,0,LC
Erica_procaviana,CAPE,CAPE&Erica_procaviana,0,NE
Erica_prolata,CAPE,CAPE&Erica_prolata,1,EN
Erica_propendens,CAPE,CAPE&Erica_propendens,1,CR
Erica_propinqua,CAPE,CAPE&Erica_propinqua,1,LC
Erica_pseudocalycina,CAPE,CAPE&Erica_pseudocalycina,0,LC
Erica_psittacina,TEA,TEA&Erica_psittacina,1,EN
Erica_puberuliflora,CAPE,CAPE&Erica_puberuliflora,0,LC
Erica_pubescens_var._pubescens,CAPE,CAPE&Erica_pubescens_var._pubescens,1,LC
Erica_pubigera,CAPE,CAPE&Erica_pubigera,1,LC
Erica_pudens,CAPE,CAPE&Erica_pudens,0,LC
Erica_pulchella,CAPE,CAPE&Erica_pulchella,1,LC
Erica_pulchelliflora,CAPE,CAPE&Erica_pulchelliflora,0,NE
Erica_pulvinata,CAPE,CAPE&Erica_pulvinata,1,CR
Erica_pumila,CAPE,CAPE&Erica_pumila,0,LC
Erica_purgatoriensis,CAPE,CAPE&Erica_purgatoriensis,1,VU
Erica_pycnantha,CAPE,CAPE&Erica_pycnantha,1,LC
Erica_pyxidiflora,CAPE,CAPE&Erica_pyxidiflora,1,LC
Erica_quadrangularis,CAPE,CAPE&Erica_quadrangularis,1,LC
Erica_quadratiflora,TEA,TEA&Erica_quadratiflora,0,NE
Erica_quadrifida,CAPE,CAPE&Erica_quadrifida,1,LC
Erica_quadrisulcata,CAPE,CAPE&Erica_quadrisulcata,1,LC
Erica_racemosa_var._racemosa,CAPE,CAPE&Erica_racemosa_var._racemosa,0,LC
Erica_radicans_ssp._radicans,CAPE,CAPE&Erica_radicans_ssp._radicans,0,LC
Erica_radicans_ssp._schlechteri,CAPE,CAPE&Erica_radicans_ssp._schlechteri,1,EN
Erica_rakotozafyana,TEA,TEA&Erica_rakotozafyana,1,NE
Erica_recta,CAPE,CAPE&Erica_recta,1,LC
Erica_recurvata,CAPE,CAPE&Erica_recurvata,1,CR
Erica_recurvifolia,CAPE,CAPE&Erica_recurvifolia,1,LC
Erica_reenensis,TEA,TEA&Erica_reenensis,1,NE
Erica_regerminans,CAPE,CAPE&Erica_regerminans,1,LC
Erica_regia_ssp._mariae,CAPE,CAPE&Erica_regia_ssp._mariae,1,LC
Erica_regia_ssp._regia,CAPE,CAPE&Erica_regia_ssp._regia,1,EN
Erica_rehmii,CAPE,CAPE&Erica_rehmii,0,VU
Erica_remota,CAPE,CAPE&Erica_remota,1,CR
Erica_retorta,CAPE,CAPE&Erica_retorta,1,LC
Erica_reunionensis,TEA,TEA&Erica_reunionensis,1,NE
Erica_revoluta,TEA,TEA&Erica_revoluta,1,NE
Erica_rhodantha,CAPE,CAPE&Erica_rhodantha,0,NE
Erica_rhodopis,CAPE,CAPE&Erica_rhodopis,1,CR
Erica_rhopalantha_var._rhopalantha,CAPE,CAPE&Erica_rhopalantha_var._rhopalantha,1,LC
Erica_ribisaria,CAPE,CAPE&Erica_ribisaria,1,CR
Erica_richardii,CAPE,CAPE&Erica_richardii,0,LC
Erica_rigidula,CAPE,CAPE&Erica_rigidula,1,LC
Erica_rimarum,CAPE,CAPE&Erica_rimarum,0,LC
Erica_riparia,CAPE,CAPE&Erica_riparia,1,EN
Erica_rivularis,TEA,TEA&Erica_rivularis,1,EN
Erica_rosacea_ssp._glabrata,CAPE,CAPE&Erica_rosacea_ssp._glabrata,1,LC
Erica_rosacea_ssp._rosacea,CAPE,CAPE&Erica_rosacea_ssp._rosacea,0,LC
Erica_rossii,TEA,TEA&Erica_rossii,0,NE
Erica_rubens,CAPE,CAPE&Erica_rubens,1,LC
Erica_rubiginosa_var._caespitosa,CAPE,CAPE&Erica_rubiginosa_var._caespitosa,0,NE
Erica_rubiginosa_var._rubiginosa,CAPE,CAPE&Erica_rubiginosa_var._rubiginosa,1,LC
Erica_rudolfii,CAPE,CAPE&Erica_rudolfii,0,LC
Erica_rufescens,CAPE,CAPE&Erica_rufescens,0,LC
Erica_rugata,CAPE,CAPE&Erica_rugata,1,LC
Erica_rupicola,CAPE,CAPE&Erica_rupicola,0,NE
Erica_russakiana,CAPE,CAPE&Erica_russakiana,1,NE
Erica_rusticula,CAPE,CAPE&Erica_rusticula,1,LC
Erica_sacciflora,CAPE,CAPE&Erica_sacciflora,1,CR
Erica_sagittata,CAPE,CAPE&Erica_sagittata,1,EN
Erica_salax,CAPE,CAPE&Erica_salax,0,NE
Erica_salicina,CAPE,CAPE&Erica_salicina,0,CR
Erica_salteri,CAPE,CAPE&Erica_salteri,1,NE
Erica_saptouensis,CAPE,CAPE&Erica_saptouensis,0,LC
Erica_savilea_var._grandiflora,CAPE,CAPE&Erica_savilea_var._grandiflora,0,NE
Erica_saxicola,CAPE,CAPE&Erica_saxicola,1,LC
Erica_saxigena,CAPE,CAPE&Erica_saxigena,0,LC
Erica_scabriuscula,CAPE,CAPE&Erica_scabriuscula,0,LC
Erica_schelpeorum,CAPE,CAPE&Erica_schelpeorum,0,LC
Erica_schlechteri,CAPE,CAPE&Erica_schlechteri,0,NE
Erica_schumannii,CAPE,CAPE&Erica_schumannii,0,EN
Erica_scoparia,EUR1,EUR1&Erica_scoparia,1,NE
Erica_scytophylla,CAPE,CAPE&Erica_scytophylla,1,LC
Erica_selaginifolia,CAPE,CAPE&Erica_selaginifolia,1,LC
Erica_senilis,CAPE,CAPE&Erica_senilis,1,LC
Erica_seriphiifolia,CAPE,CAPE&Erica_seriphiifolia,0,LC
Erica_serrata,CAPE,CAPE&Erica_serrata,1,LC
Erica_sessiliflora,CAPE,CAPE&Erica_sessiliflora,1,LC
Erica_setacea,CAPE,CAPE&Erica_setacea,1,LC
Erica_setociliata,CAPE,CAPE&Erica_setociliata,0,LC
Erica_setosa,CAPE,CAPE&Erica_setosa,0,LC
Erica_setulosa,CAPE,CAPE&Erica_setulosa,0,LC
Erica_sexfaria,CAPE,CAPE&Erica_sexfaria,0,LC
Erica_shannonea,CAPE,CAPE&Erica_shannonea,1,NE
Erica_sicifolia,CAPE,CAPE&Erica_sicifolia,0,VU
Erica_sicula_ssp._sicula,EUR2,EUR2&Erica_sicula_ssp._sicula,1,NE
Erica_silvatica,TEA,TEA&Erica_silvatica,1,NE
Erica_simii,TEA,TEA&Erica_simii,1,LC
Erica_similis,CAPE,CAPE&Erica_similis,1,LC
Erica_simulans_var._simulans,CAPE,CAPE&Erica_simulans_var._simulans,1,LC
Erica_simulans_var._trivialis,CAPE,CAPE&Erica_simulans_var._trivialis,0,LC
Erica_sitiens,CAPE,CAPE&Erica_sitiens,1,LC
Erica_situshiemalis,CAPE,CAPE&Erica_situshiemalis,1,EN
Erica_sociorum,CAPE,CAPE&Erica_sociorum,1,CR
Erica_solandra,CAPE,CAPE&Erica_solandra,1,LC
Erica_sonderiana,CAPE,CAPE&Erica_sonderiana,1,LC
Erica_sparrmanni,CAPE,CAPE&Erica_sparrmanni,1,LC
Erica_sparsa_var._glandulosopedicellata,CAPE,CAPE&Erica_sparsa_var._glandulosopedicellata,0,LC
Erica_sparsa_var._sparsa,CAPE,CAPE&Erica_sparsa_var._sparsa,1,LC
Erica_spectabilis,CAPE,CAPE&Erica_spectabilis,1,LC
Erica_sperata,CAPE,CAPE&Erica_sperata,1,LC
Erica_sphaerocephala,CAPE,CAPE&Erica_sphaerocephala,1,LC
Erica_spiculifolia,EUR1,EUR1&Erica_spiculifolia,1,NE
Erica_spinifera,TEA,TEA&Erica_spinifera,1,NE
Erica_spumosa,CAPE,CAPE&Erica_spumosa,1,LC
Erica_squarrosa,CAPE,CAPE&Erica_squarrosa,1,VU
Erica_stagnalis_ssp._minor,CAPE,CAPE&Erica_stagnalis_ssp._minor,1,NE
Erica_stagnalis_ssp._stagnalis,CAPE,CAPE&Erica_stagnalis_ssp._stagnalis,1,LC
Erica_steinbergiana_var._steinbergiana,CAPE,CAPE&Erica_steinbergiana_var._steinbergiana,1,LC
Erica_stenantha,CAPE,CAPE&Erica_stenantha,0,LC
Erica_stokoeanthus,CAPE,CAPE&Erica_stokoeanthus,1,VU
Erica_stokoei,CAPE,CAPE&Erica_stokoei,1,LC
Erica_straussiana,TEA,TEA&Erica_straussiana,1,NE
Erica_strigilifolia_var._rosea,CAPE,CAPE&Erica_strigilifolia_var._rosea,0,NE
Erica_strigilifolia_var._strigilifolia,CAPE,CAPE&Erica_strigilifolia_var._strigilifolia,1,LC
Erica_strigosa,CAPE,CAPE&Erica_strigosa,1,LC
Erica_stylaris,CAPE,CAPE&Erica_stylaris,1,VU
Erica_subcapitata,CAPE,CAPE&Erica_subcapitata,1,LC
Erica_subdivaricata,CAPE,CAPE&Erica_subdivaricata,1,LC
Erica_subimbricata,CAPE,CAPE&Erica_subimbricata,0,NE
Erica_subulata,CAPE,CAPE&Erica_subulata,1,LC
Erica_subverticillaris,TEA,TEA&Erica_subverticillaris,1,VU
Erica_suffulta,CAPE,CAPE&Erica_suffulta,0,LC
Erica_swaziensis,TEA,TEA&Erica_swaziensis,1,NE
Erica_sylvainiana,TEA,TEA&Erica_sylvainiana,0,NE
Erica_syngenesia,CAPE,CAPE&Erica_syngenesia,0,LC
Erica_tarantulae,CAPE,CAPE&Erica_tarantulae,0,VU
Erica_taxifolia,CAPE,CAPE&Erica_taxifolia,0,LC
Erica_taylorii,CAPE,CAPE&Erica_taylorii,0,LC
Erica_tegetiformis,CAPE,CAPE&Erica_tegetiformis,0,LC
Erica_tegulifolia,CAPE,CAPE&Erica_tegulifolia,1,LC
Erica_tenella_var._gracilior,CAPE,CAPE&Erica_tenella_var._gracilior,0,NE
Erica_tenella_var._tenella,CAPE,CAPE&Erica_tenella_var._tenella,1,LC
Erica_tenuicaulis,CAPE,CAPE&Erica_tenuicaulis,0,LC
Erica_tenuifolia,CAPE,CAPE&Erica_tenuifolia,0,LC
Erica_tenuipes,CAPE,CAPE&Erica_tenuipes,0,LC
Erica_tenuis,CAPE,CAPE&Erica_tenuis,1,LC
Erica_terminalis,EUR1,EUR1&Erica_terminalis,1,NE
Erica_terniflora,CAPE,CAPE&Erica_terniflora,0,LC
Erica_tetragona,CAPE,CAPE&Erica_tetragona,0,LC
Erica_tetralix,EUR1,EUR1&Erica_tetralix,1,NE
Erica_tetrathecoides,CAPE,CAPE&Erica_tetrathecoides,1,VU
Erica_thamnoides,CAPE,CAPE&Erica_thamnoides,1,LC
Erica_thimifolia,CAPE,CAPE&Erica_thimifolia,1,LC
Erica_thodei,TEA,TEA&Erica_thodei,1,NE
Erica_thomae,CAPE,CAPE&Erica_thomae,1,LC
Erica_thomensis,TEA,TEA&Erica_thomensis,1,CR
Erica_thunbergii_var._thunbergii,CAPE,CAPE&Erica_thunbergii_var._thunbergii,1,LC
Erica_tomentosa,CAPE,CAPE&Erica_tomentosa,1,LC
Erica_toringbergensis,CAPE,CAPE&Erica_toringbergensis,1,NE
Erica_totta,CAPE,CAPE&Erica_totta,1,LC
Erica_trachysantha,CAPE,CAPE&Erica_trachysantha,0,LC
Erica_tradouwensis,CAPE,CAPE&Erica_tradouwensis,1,LC
Erica_tragomontana,CAPE,CAPE&Erica_tragomontana,0,VU
Erica_tragulifera,CAPE,CAPE&Erica_tragulifera,0,LC
Erica_transparens,CAPE,CAPE&Erica_transparens,1,LC
Erica_triceps,CAPE,CAPE&Erica_triceps,0,LC
Erica_trichadenia,CAPE,CAPE&Erica_trichadenia,0,LC
Erica_trichoclada,TEA,TEA&Erica_trichoclada,0,NE
Erica_trichophora,CAPE,CAPE&Erica_trichophora,1,NE
Erica_trichophylla,CAPE,CAPE&Erica_trichophylla,1,EN
Erica_trichostigma,CAPE,CAPE&Erica_trichostigma,0,CR
Erica_trichroma_var._trichroma,CAPE,CAPE&Erica_trichroma_var._trichroma,1,LC
Erica_triflora_var._triflora,CAPE,CAPE&Erica_triflora_var._triflora,1,LC
Erica_trimera_ssp._abyssinica,TRIM,TRIM&Erica_trimera_ssp._abyssinica,0,NE
Erica_trimera_ssp._elgonensis,TRIM,TRIM&Erica_trimera_ssp._elgonensis,0,NE
Erica_trimera_ssp._keniensis,TRIM,TRIM&Erica_trimera_ssp._keniensis,1,NE
Erica_trimera_ssp._kilimanjarica,TRIM,TRIM&Erica_trimera_ssp._kilimanjarica,0,NE
Erica_trimera_ssp._meruensis,TRIM,TRIM&Erica_trimera_ssp._meruensis,0,NE
Erica_trimera_ssp._trimera,TRIM,TRIM&Erica_trimera_ssp._trimera,1,NE
Erica_tristis,CAPE,CAPE&Erica_tristis,1,LC
Erica_truncata,CAPE,CAPE&Erica_truncata,0,NE
Erica_tubercularis,CAPE,CAPE&Erica_tubercularis,0,NE
Erica_tumida_var._minor,CAPE,CAPE&Erica_tumida_var._minor,0,LC
Erica_tumida_var._tumida,CAPE,CAPE&Erica_tumida_var._tumida,1,LC
Erica_turgida,CAPE,CAPE&Erica_turgida,1,CR
Erica_turneri,CAPE,CAPE&Erica_turneri,1,VU
Erica_turrisbabylonica,CAPE,CAPE&Erica_turrisbabylonica,0,VU
Erica_uberiflora,CAPE,CAPE&Erica_uberiflora,1,LC
Erica_umbellata,EUR3,EUR3&Erica_umbellata,1,NE
Erica_umbelliflora,CAPE,CAPE&Erica_umbelliflora,1,LC
Erica_umbratica,CAPE,CAPE&Erica_umbratica,1,LC
Erica_umbrosa,CAPE,CAPE&Erica_umbrosa,0,NE
Erica_unicolor_ssp._georgensis,CAPE,CAPE&Erica_unicolor_ssp._georgensis,1,LC
Erica_unicolor_ssp._mutica,CAPE,CAPE&Erica_unicolor_ssp._mutica,1,EN
Erica_unicolor_ssp._unicolor,CAPE,CAPE&Erica_unicolor_ssp._unicolor,1,LC
Erica_unilateralis,CAPE,CAPE&Erica_unilateralis,1,LC
Erica_urceolata,CAPE,CAPE&Erica_urceolata,1,LC
Erica_urna_viridis,CAPE,CAPE&Erica_urna_viridis,1,LC
Erica_ustulescens,CAPE,CAPE&Erica_ustulescens,1,CR
Erica_utriculosa,CAPE,CAPE&Erica_utriculosa,1,LC
Erica_uysii,CAPE,CAPE&Erica_uysii,1,VU
Erica_vagans,EUR1,EUR1&Erica_vagans,1,LC
